우편번호|시도|시도영문|시군구|시군구영문|읍면|읍면영문|도로명코드|도로명|도로명영문|지하여부|건물번호본번|건물번호부번|건물관리번호|다량배달처명|시군구용건물명|법정동코드|법정동명|리명|행정동명|산여부|지번본번|읍면동일련번호|지번부번|구우편번호|우편번호일련번호
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|589|0|3611010500109680000000001|||3611010500|가람동||한솔동|0|968|02|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|7|0|3611010500107550010000001|||3611010500|가람동|||0|755|01|10||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|650|0|3611010500100190001000001|||3611010500|가람동|||0|19|02|1||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|102|0|3611010500106530000000001|||3611010500|가람동||한솔동|0|954|01|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|121|0|3611010500105120002000009|||3611010500|가람동||한솔동|0|641|01|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|595|0|3611010500106190000000001||SK남세종충전소|3611010500|가람동||한솔동|0|619|02|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|612|0|3611010500105290000000001|||3611010500|가람동||한솔동|0|960|02|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|612|0|3611010500105290000000002||수질복원센터및크린에너지센터A|3611010500|가람동||한솔동|0|960|02|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|687|0|3611010500104060000000001||이마트세종점|3611010500|가람동||한솔동|0|970|02|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|66|0|3611010500107110001000001||주택성능연구개발센터|3611010500|가람동||한솔동|0|964|01|0||
30065|세종특별자치시|Sejong-si|||||361103258091|라온로|Raon-ro|0|82|0|3611010500106480000000001||폐기물연료화시설|3611010500|가람동||한솔동|0|953|01|0||
30065|세종특별자치시|Sejong-si|||||361103258061|금송로|Geumsong-ro|0|625|0|3611010500105120002000001|||3611010500|가람동||한솔동|0|957|02|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|167|0|3611011200201000000000006||가락마을17단지|3611011200|고운동||고운동|0|1386|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|139|0|3611011200200950000000001||가락마을18단지|3611011200|고운동||고운동|1|95|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|137|0|3611011200200950000000015||가락마을18단지근린생활시설|3611011200|고운동||고운동|1|95|01|0||
30062|세종특별자치시|Sejong-si|||||361103352026|밝은뜰로|Balgeuntteul-ro|0|15|0|3611011200106580002000001||가락마을19단지|3611011200|고운동||고운동|0|658|01|2||
30062|세종특별자치시|Sejong-si|||||361103352026|밝은뜰로|Balgeuntteul-ro|0|3|0|3611011200106580002000021||가락마을19단지근린생활시설|3611011200|고운동||고운동|0|658|01|2||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|67|0|3611011200117290000000001||가락마을1단지|3611011200|고운동||고운동|0|1729|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|190|0|3611011200201620000000001||가락마을20단지|3611011200|고운동||고운동|0|1396|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|221|0|3611011200104890000000001||가락마을21단지|3611011200|고운동||고운동|0|1390|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|322|0|3611011200104870000000001||가락마을22단지|3611011200|고운동||고운동|0|1387|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|49|0|3611011200117310000000001||가락마을2단지|3611011200|고운동||고운동|0|1731|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|47|0|3611011200202350000000001||가락마을3단지|3611011200|고운동||고운동|0|1708|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|48|0|3611011200202320000000001||가락마을4단지|3611011200|고운동||고운동|0|1703|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|34|0|3611011200107390117000003||가락마을5단지|3611011200|고운동||고운동|0|1705|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|14|0|3611011200107390063000001||가락마을6단지|3611011200|고운동||고운동|0|1728|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|13|0|3611011200201750000000018||가락마을7단지|3611011200|고운동||고운동|0|1724|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|92|0|3611011200201750000000001||가락마을8단지|3611011200|고운동||고운동|0|1706|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|151|0|3611011200107600000000002||가락마을9단지|3611011200|고운동||고운동|0|1408|01|0||
30062|세종특별자치시|Sejong-si|||||361103258110|마음안1로|Maeuman 1-ro|0|22|0|3611011200107190000000002||가락유치원|3611011200|고운동||고운동|0|1366|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|208|0|3611011200107190000000001||가락초등학교|3611011200|고운동||고운동|0|1366|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|9|3611011200201000000000005||강남빌딩|3611011200|고운동||고운동|0|1375|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|136|0|3611011200114040000000001||고운self주유소|3611011200|고운동||고운동|0|1404|01|0||
30063|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|93|0|3611011200107390148000001||고운고등학교|3611011200|고운동||고운동|0|1415|01|0||
30101|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|78|27|3611011200108210000000001||고운동배수지|3611011200|고운동||고운동|0|821|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|284|0|3611011200113820000000001||고운동복합커뮤니티센터|3611011200|고운동||고운동|0|1382|01|0||
30063|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|64|0|3611011200117120000000001||고운동복합커뮤니티센터(남측)|3611011200|고운동||고운동|0|1712|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|22|3611011200201000000000004||고운드림|3611011200|고운동||고운동|0|1379|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|241|0|3611011200201050000000004||고운드림55|3611011200|고운동||고운동|0|1006|01|0||
30062|세종특별자치시|Sejong-si|||||361103258109|마음안로|Maeuman-ro|0|169|0|3611011200107850000000001||고운뜰|3611011200|고운동||고운동|0|1220|01|0||
30101|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|151|0|3611011200108210000000002||고운뜰공원관리사무소|3611011200|고운동||고운동|0|821|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|4|3611011200113720000000001||고운메디프라자|3611011200|고운동||고운동|0|1372|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|242|0|3611011200201050000000001||고운빌딩|3611011200|고운동||고운동|0|1155|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|6|0|3611011200107390014000001||고운상가|3611011200|고운동||고운동|0|2006|01|0||
30063|세종특별자치시|Sejong-si|||||361104574745|만남로8길|Mannam-ro 8-gil|0|24|1|3611011200117450000000001||고운상가|3611011200|고운동||고운동|0|1745|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|272|3|3611011200113730000000001||고운에듀프라자|3611011200|고운동||고운동|0|1373|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|47|0|3611011200202380000000002||고운유치원|3611011200|고운동||고운동|0|1711|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|65|0|3611011200107390108000001||고운중학교|3611011200|고운동||고운동|0|1710|01|0||
30063|세종특별자치시|Sejong-si|||||361103258105|만남로|Mannam-ro|0|45|0|3611011200202380000000001||고운초등학교|3611011200|고운동||고운동|0|1711|01|0||
30062|세종특별자치시|Sejong-si|||||361103258108|마음로|Maeum-ro|0|264|0|3611011200200970000000001||고운프라자|3611011200|고운동||고운동|0|1370|01|0||
